33.8035,7.455,4.4937,4.6208,,0.2205,0.1329,0.1367,,0.220616666666667,0.13305,0.137133333333333
33.9028,7.4774,4.5025,4.6603,,0.2206,0.1328,0.1375,,,,
33.8631,7.4381,4.4906,4.6071,,0.2197,0.1326,0.1361,,,,
33.825,7.4873,4.4995,4.6499,,0.2214,0.133,0.1375,,,,
33.926,7.4744,4.5036,4.6353,,0.2203,0.1327,0.1366,,,,
33.766,7.4696,4.5364,4.6738,,0.2212,0.1343,0.1384,,,,
22.6814,3.629,22.1349,,,0.16,,,,0.16045,,
22.7907,3.638,22.1861,,,0.1596,,,,,,
22.7511,3.6709,22.1019,,,0.1614,,,,,,
22.7822,3.6626,22.209,,,0.1608,,,,,,
